x,y,z,Fx,Fy,Fz
0.0133333333333,-0.0366666666667,0.0,0.007336484298467895,-0.018749264705067402,1.2947207284258385e-18
0.015,-0.0366666666667,0.0,0.008182923519902827,-0.018658778865071446,0.0
0.0166666666667,-0.0366666666667,0.0,0.009006587682642387,-0.018559131729519247,0.0
0.0183333333333,-0.0366666666667,0.0,0.009806023735094482,-0.018450773668404363,0.0
0.02,-0.0366666666667,0.0,0.010580042263069309,-0.018334181062183992,0.0
0.0216666666667,-0.0366666666667,0.0,0.011327713078986086,-0.018209851132616632,-1.2947207284258385e-18
0.0233333333333,-0.0366666666667,0.0,0.01204835607205834,-0.018078296792154405,0.0
0.025,-0.0366666666667,0.0,0.012741528093951342,-0.017940041602928888,0.0
0.0266666666667,-0.0366666666667,0.0,0.013407006699756242,-0.017795614927476906,0.0
0.0283333333333,-0.0366666666667,0.0,0.01404477156620572,-0.01764554734232914,1.2947207284258385e-18
0.03,-0.0366666666667,0.0,0.014654984373775238,-0.017490366373667382,3.2368018210645963e-19
0.0316666666667,-0.0366666666667,0.0,0.015237967873003133,-0.017330592601439456,0.0
0.0333333333333,-0.0366666666667,0.0,0.015794184771083807,-0.017166736165074584,0.0
0.035,-0.0366666666667,0.0,0.01632421697889254,-0.016999293691548442,0.0
0.0366666666667,-0.0366666666667,0.0,0.016828745654760537,-0.016828745654760537,0.0
0.0383333333333,-0.0366666666667,0.0,0.017308532382345043,-0.01665555416425845,-1.2947207284258385e-18
0.04,-0.0366666666667,0.0,0.017764401727560775,-0.016480161172356438,-1.2947207284258385e-18
0.0416666666667,-0.0366666666667,0.0,0.008993231769856362,-0.0163029870810134,1.2947207284258385e-18
-0.0416666666667,-0.035,0.0,-0.009076674756562023,-0.015797619270560233,1.2947207284258385e-18
-0.04,-0.035,0.0,-0.017932191222277537,-0.015974879408631005,0.0
-0.0383333333333,-0.035,0.0,-0.017477922300471422,-0.01615055352441258,2.589441456851677e-18
-0.0366666666667,-0.035,0.0,-0.016999293691548442,-0.016324216978892664,0.0
-0.035,-0.035,0.0,-0.01649542150239323,-0.01649542150239323,0.0
